PROJECT_CODE,YEAR,n,LM_P_,LM_P_CI_,TM_P_,TM_P_CI_,MT1_P_,MT1_P_CI_,MT2_P_,MT2_P_CI_,MT3_P_,MT3_P_CI_,MT4_P_,MT4_P_CI_,MT5_P_,MT5_P_CI_,MT6_P_,MT6_P_CI_,MT7_P_,MT7_P_CI_,MT8_P_,MT8_P_CI_,MT9_P_,MT9_P_CI_,MT10_P_,MT10_P_CI_,MM_P_,MM_P_CI_,TF_P_,TF_P_CI_,FT11_P_,FT11_P_CI_,FT12_P_,FT12_P_CI_,FT13_P_,FT13_P_CI_,MF_P_,MF_P_CI_
T06,1999,4,22163,21000,39583,37525,5882,7757,14494,21754,0,0,1788,5687,4448,9077,6826,16119,4684,5071,0,0,0,0,1463,4653,33437,34383,46583,117992,1463,4653,6797,16125,38324,103711,45121,119290
T06,2001,4,25852,42158,176114,186362,0,0,24446,40197,0,0,1406,4472,0,0,12990,35612,2911,5346,4344,13820,20244,52414,109773,75910,38842,72669,122096,117820,104664,91733,0,0,17432,30897,17432,30897
T06,2005,4,50481,80221,181576,180302,5749,12900,43284,69195,0,0,1448,4607,25935,38635,34537,56127,31771,33790,11498,19677,14394,21663,12960,17219,110953,124828,30366,13966,4344,13820,1448,4607,24575,19057,26022,16046
T06,2007,7,21654,18868,152679,102003,5784,6136,15870,17877,0,0,0,0,32360,17817,21380,13285,40587,41635,844,2065,17484,19668,18369,15950,75395,43835,42903,29478,11650,12936,6752,5697,24501,14279,31253,19170
T06,2009,7,30201,36304,139926,86926,12480,21284,17721,21412,0,0,0,0,17479,11567,20259,9258,18466,14449,3310,4212,18626,16899,31585,18014,67939,50120,79913,34755,42290,15495,8274,10643,29348,29107,37622,34539
T06,2011,5,86682,134802,245516,409752,48857,92743,26202,33699,2758,7654,8865,12164,46141,89607,14408,9100,31116,43090,1379,3827,49096,100712,16694,41245,147231,227264,42272,58123,21729,41117,7828,9933,12714,12780,20542,19437
T06,2013,5,36402,66403,133485,223501,8161,14969,22711,41056,1455,4037,4076,7911,31423,79361,0,0,15722,39676,0,0,18635,33264,31303,26479,67825,143611,30902,28139,29725,29369,1177,3266,0,0,1177,3266
T06,2014,5,31741,37677,156840,161911,7751,9793,19495,26218,0,0,4494,9016,12208,13677,11611,20101,25136,31258,1113,3089,21641,32787,53390,51122,55560,67730,54456,64332,41376,47340,10854,16161,2226,6177,13080,22192
T06,2015,5,31406,44898,218284,195568,3931,4548,22995,34926,0,0,4480,9130,11930,14658,26048,39215,33434,31361,13251,24345,54094,55961,48123,41083,69383,90078,93230,141400,52179,84884,22155,40760,18896,42559,41051,67046
T06,2017,5,44283,52182,136617,144486,27116,32480,12243,14060,0,0,4925,6319,42186,50075,6255,5956,31506,38367,1351,3749,8690,12738,2346,3988,92724,103760,10580,19415,0,0,9420,16708,1160,3219,10580,19415
